OurAirports_name,icao,iata,countryLabel,lat,lon,filename
Herat - Khwaja Abdullah Ansari International Airport,OAHR,HEA,Afghanistan,34.21005556,62.22794444,mapbox_34.21005556_62.22794444_0.png
Kabul International Airport,OAKB,KBL,Afghanistan,34.56586111,69.21230556,mapbox_34.56586111_69.21230556_1.png
Ahmad Shah Baba International Airport,OAKN,KDH,Afghanistan,31.50722222,65.85027778,mapbox_31.50722222_65.85027778_2.png
Tirana International Airport Mother Teresa,LATI,TIA,Albania,41.41472222,19.72055556,mapbox_41.41472222_19.72055556_4.png
Houari Boumediene Airport,DAAG,ALG,Algeria,36.69444444,3.216944444,mapbox_36.69444444_3.216944444_7.png
Annaba Rabah Bitat Airport,DABB,AAE,Algeria,36.822222,7.809444,mapbox_36.822222_7.809444_8.png
Soummam__bane Ramdane Airport,DAAE,BJA,Algeria,36.71197222,5.069472222,mapbox_36.71197222_5.069472222_9.png
Biskra - Mohamed Khider Airport,DAUB,BSK,Algeria,34.79336111,5.738305555,mapbox_34.79336111_5.738305555_10.png
Chlef Aboubakr Belkaid International Airport,DAOI,CFK,Algeria,36.21480556,1.335638888,mapbox_36.21480556_1.335638888_12.png
Jijel Ferhat Abbas Airport,DAAV,GJL,Algeria,36.79513611,5.873608333,mapbox_36.79513611_5.873608333_15.png
Mohamed Boudiaf International Airport,DABC,CZL,Algeria,36.282417,6.617056,mapbox_36.282417_6.617056_16.png
Batna Mostefa Ben Boulaid Airport,DABT,BLJ,Algeria,35.75180556,6.30925,mapbox_35.75180556_6.30925_17.png
Oran Es-Sénia (Ahmed Ben Bella) International Airport,DAOO,ORN,Algeria,35.627222,-0.611389,mapbox_35.627222_-0.611389_19.png
Zenata _ Messali El Hadj Airport,DAON,TLM,Algeria,35.01336111,-1.457527777,mapbox_35.01336111_-1.457527777_2.png
Dr. Antonio Agostinho Neto International Airport,FNBJ,NBJ,Angola,-9.050480555,13.49996667,mapbox_-9.050480555_13.49996667_3.png
Quatro de Fevereiro International Airport,FNLU,LAD,Angola,-8.858083333,13.23119444,mapbox_-8.858083333_13.23119444_6.png
V. C. Bird International Airport,TAPA,ANU,Antigua and Barbuda,17.13666667,-61.79305556,mapbox_17.13666667_-61.79305556_7.png
El Calafate - Commander Armando Tola International Airport,SAWC,FTE,Argentina,-50.28,-72.05305556,mapbox_-50.28_-72.05305556_11.png
General Enrique Mosconi International Airport,SAVC,CRD,Argentina,-45.78527778,-67.46555556,mapbox_-45.78527778_-67.46555556_16.png
Gobernador Horacio Guzman International Airport,SASJ,JUJ,Argentina,-24.3925,-65.09777778,mapbox_-24.3925_-65.09777778_17.png
Governor Francisco Gabrielli International Airport,SAME,MDZ,Argentina,-32.83166667,-68.79277778,mapbox_-32.83166667_-68.79277778_18.png
Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,SACO,COR,Argentina,-31.31,-64.20833333,mapbox_-31.31_-64.20833333_19.png
Martín Miguel de Güemes International Airport,SASA,SLA,Argentina,-24.85972222,-65.48694444,mapbox_-24.85972222_-65.48694444_20.png
Ezeiza International Airport - Ministro Pistarini,SAEZ,EZE,Argentina,-34.82222222,-58.53583333,mapbox_-34.82222222_-58.53583333_21.png
Piloto Civil Norberto Fernández International Airport,SAWG,RGL,Argentina,-51.60881,-69.31217,mapbox_-51.60881_-69.31217_22.png
Presidente Perón International Airport,SAZN,NQN,Argentina,-38.95137,-68.14057,mapbox_-38.95137_-68.14057_23.png
Resistencia International Airport,SARE,RES,Argentina,-27.45,-59.05611111,mapbox_-27.45_-59.05611111_24.png
Rosario Islas Malvinas International Airport,SAAR,ROS,Argentina,-32.90361111,-60.78444444,mapbox_-32.90361111_-60.78444444_25.png
Teniente Luis Candelaria International Airport,SAZS,BRC,Argentina,-41.15111111,-71.15777778,mapbox_-41.15111111_-71.15777778_26.png
Teniente Benjamín Matienzo International Airport,SANT,TUC,Argentina,-26.84083333,-65.10472222,mapbox_-26.84083333_-65.10472222_28.png
Shirak International Airport,UDSG,LWN,Armenia,40.75027778,43.85916667,mapbox_40.75027778_43.85916667_30.png
Zvartnots International Airport,UDYZ,EVN,Armenia,40.14722222,44.39583333,mapbox_40.14722222_44.39583333_31.png
